Tilltalsnamn,Antal bärare
ABDILAZIZ,6
ABDILKADIR,5
ABDILLAH,5
ABDILLAHI,81
ABDILLATIF,2
ABDILMAJID,2
ABDILRAHMAN,3
ABDIMAALIK,8
ABDIMAHAD,12
ABDIMAIN,3
ABDIMAJIB,2
ABDIMAJID,50
ABDIMAJIID,9
ABDIMALEK,3
ABDIMALIG,5
ABDIMALIK,141
ABDI-MALIK,6
ABDIMANAN,3
ABDIMUDALIB,10
ABDIMUHSIN,2
ABDIMUNIM,3
ABDIN,16
ABDINAASIR,13
ABDINAFA,7
ABDINAFAC,2
ABDINAJIB,43
ABDINAJIIB,2
ABDINASER,12
ABDINASIR,296
ABDI-NASIR,4
ABDINASSER,8
ABDINASSIR,7
ABDINEJIB,4
ABDINOOR,11
ABDINOR,4
ABDINOUR,4
ABDINUR,42
ABDI-NUR,2
ABDINUUR,10
ABDIQAADIR,9
ABDIQADAR,18
ABDIQADER,4
ABDIQADIR,50
ABDIQAFAR,24
ABDIQALIK,2
ABDIQALIQ,9
ABDIQANI,161
ABDIQEYS,3
ABDIRABI,12
ABDIRACHID,2
ABDIRAHAMAN,11
ABDIRAHEM,2
ABDIRAHIIM,8
ABDIRAHIIN,2
ABDIRAHIM,176
ABDI-RAHIM,2
ABDIRAHIN,20
ABDIRAHMAAN,40
ABDIRAHMAN,1912
ABDI-RAHMAN,2
ABDIRAHMAN ABDULLAHI,2
ABDIRAHMAN OMAR,2
ABDIRAMAN,2
ABDIRAOUF,2
ABDIRASAK,13
ABDIRASAQ,19
ABDIRASHID,226
ABDIRASHIID,18
ABDIRAUF,6
ABDIRAXMAAN,2
ABDIRAXMAN,5
ABDIRAZAK,53
ABDIRAZAQ,10
ABDIRESAK,2
ABDIRESHID,2
ABDIREZAK,5
ABDIRHAMAN,3
ABDIRHMAN,4
ABDIRIHIN,2
ABDIRIHMAN,11
ABDIRISAAK,6
ABDIRISAAQ,32
ABDIRISACK,6
ABDIRISAG,3
ABDIRISAK,144
ABDIRISAKH,4
ABDIRISAQ,139
ABDIRIZAAK,5
ABDIRIZACK,3
ABDIRIZAG,2
ABDIRIZAH,2
ABDIRIZAK,222
ABDIRIZAQ,21
ABDIRRAHMAN,3
ABDIRSAAQ,2
ABDIRSAQ,2
ABDIRZAK,3
