Tilltalsnamn,Antal bärare
AFGHAN,4
AFGHANI,3
AFI,4
AFIA,32
AFIAA,2
AFIET,4
AFIFA,60
AFIFAH,2
AFIFE,7
AFIFEH,3
AFIFI,2
AFIFO,2
AFIJE,7
AFIJET,3
AFIN,2
AFINA,5
AFIYA,5
AFIZA,3
AFKAR,3
AFKERA,2
AFLIN,2
AFNAAN,31
AFNAN,191
AFNANE,2
AFOM,2
AFOMIA,13
AFOMIYA,3
AFOMYA,6
AFRA,35
AFRAA,51
AFRAAH,6
AFRAH,227
AFRAJ,2
AFRAMIA,2
AFRATA,4
AFRDITA,7
AFREEN,9
AFRICA,2
AFRIDA,3
AFRIKA,2
AFRIN,18
AFRINA,6
AFRODITA,28
AFRODITE,41
AFRODITI,36
AFROJA,4
AFRONA,2
AFROOZ,12
AFRORA,6
AFRORE,4
AFROUZ,12
AFROVITI,2
AFROZ,6
AFROZA,33
AFRUZ,2
AFRUZA,3
AFSA,6
AFSANA,51
AFSANAH,5
AFSANE,17
AFSANEH,205
AFSAR,22
AFSHAN,31
AFSHANA,4
AFSHEEN,13
AFSHID,2
AFSON,2
AFSOON,14
AFSOUN,2
AFSUN,3
AFTAB,10
AFTAW,4
AFTON,2
AFTONIA,6
AFTOUNIA,3
AFUA,3
AFYAN,2
AFZA,2
AFZAL,2
AGA,3
AGAPE,3
AGAPI,25
AGAR,3
AGARTHA,3
AGATA,484
AGÁTA,4
AGATE,4
AGATHA,47
AGATHE,31
AGATHI,10
AGAVNI,3
AGAZIT,2
AGDA,165
AGE,6
AGELIKI,6
AGGA,2
AGGE,5
AGGELIKI,11
AGGI,4
AGGIE,12
AGHADEER,4
AGHARID,2
AGHAVNI,5
AGHDAS,38
AGHELA,2
AGHELE,2
AGHELEH,3
AGHIGH,3
AGI,10
AGIA,2
AGIE,2
AGIJA,5
AGILA,3
AGIME,7
AGITA,9
AGLA,3
AGLAIA,19
AGLAJA,2
AGLAYA,6
AGNA,5
AGNE,87
AGNÉ,18
AGNÈ,2
AGNELA,2
AGNELIA,5
AGNES,15935
AGNÉS,3
AGNÈS,29
ÁGNES,42
ÀGNES,2
AGNES CECILIA,8
AGNES ELISE,2
AGNESA,170
AGNES-CECILIA,23
AGNESE,62
AGNES-FELICIA,3
AGNES-LO,2
AGNES-MARIA,2
AGNESS,4
AGNESSA,4
AGNETA,17013
AGNÉTA,4
AGNETE,74
AGNETÉ,2
AGNETH,2
AGNETHA,656
AGNETHE,17
AGNEZ,42
AGNEZA,2
AGNI,16
AGNIESZKA,1454
AGNIETE,3
AGNIJA,8
AGNIJE,2
AGNIS,3
AGNITA,4
AGNOULA,2
AGNY,3
AGONETA,2
AGONITA,2
AGORITSA,4
AGOSTINA,7
AGOT,3
AGOTA,21
ÁGOTA,8
AGRIMA,3
AGRIN,10
AGRIPINA,2
AGRIPPINA,2
AGRITA,7
AGUEDA,8
AGUIL,2
AGURTZANE,2
AGUSTA,6
ÁGÚSTA,5
AGUSTINA,35
AH,10
AHAANA,3
AHAD,8
AHADO,4
AHALAM,6
AHALYA,2
AHANA,15
AHANG,16
AHATA,2
AHD,14
AHDAB,3
AHDIEH,5
AHED,52
AHEDA,2
AHEEN,3
AHELLA,2
AHEN,2
AHENG,3
AHGNES,2
AHID,4
AHIDA,2
AHIN,39
AHINK,2
AHLA,3
AHLAAM,59
AHLAAN,4
AHLAM,627
AHLAME,4
AHLAN,16
AHLEM,30
AHLINA,4
AHLINE,2
AHMAD,4
AHMED,12
AHMEDINA,5
AHMIJA,2
AHN,2
AHNA,3
AHNN,2
AHNNA,11
AHO,6
AHOD,5
AHONA,4
AHOO,3
AHOOD,3
AHOU,3
AHRI,2
AHSAN,3
AHSEN,7
AHTER,2
AHU,7
AHUOD,2
AHYA,4
AHYAE,2
AI,68
ÁI,2
AI VY,3
AIA,61
AIAH,19
AIAN,3
AIANA,8
AIAT,16
AICHA,393
AÏCHA,8
AICHAH,2
AICHATOU,4
AICHE,9
AICHEH,8
AICHUN,2
AIDA,1723
AÏDA,5
AIDAA,3
AIDAH,22
AIDAI,2
AIDAN,3
AIDANA,10
AIDE,6
AIDEE,3
AIDEEN,4
AIDEH,3
AIDEN,10
AIDI,6
AIE,5
AIEDA,6
AIEH,5
AIELEEN,2
AIESHA,5
AIFA,2
AIGA,16
AIGERIM,8
AIGUL,19
AIHAN,4
AIHUA,6
AIIA,3
AIILA,2
AIINA,2
AIJA,106
AIJA-LIISA,2
AIJAN,2
AIJA-RIITTA,2
AIJLA,4
AIJU,2
AIJUN,5
AIKA,4
AIKATERINA,2
AIKATERINI,189
AIKI,3
AIKO,29
AILA,726
ÁILA,2
AILADA,3
AILAN,3
AILAR,10
AILBHE,3
AILDA,2
AILE,7
ÁILE,8
AILEC,2
AILEE,2
AILEEN,115
AILEMA,2
AILEN,11
AILENE,3
AILI,390
AILIAN,3
AILIE,12
AILIN,97
AILÍN,2
AILINA,12
AILINE,11
AILING,3
AILINN,7
AILIS,4
AILISH,3
AILLA,3
AILSA,7
AILY,7
AILYN,24
AIMA,36
AIMAH,3
AIMAL,5
AIMAN,33
AIMAR,2
AIMARA,3
AIME,34
AIMÉ,7
AIMEE,143
AIMEÉ,10
AIMÉE,71
AIMEI,2
AIMEN,6
AIMI,12
AIMIE,13
AIMILIA,7
AIMIN,3
AIMING,3
AIMON,3
AIM-ORN,2
AIMY,7
AIN,6
AINA,3200
AINA-BRITT,2
AINAGUL,3
AINALEM,3
AINA-MARI,2
AINA-MARIA,2
AINARA,13
AINAZ,14
AINAZIK,2
AINDA,3
AINE,13
ÁINE,6
AINES,4
AINHOA,46
AINI,84
AINO,862
AINOA,12
AINOAH,2
AINO-LILL,2
AINOM,2
AINO-MAIJA,4
AINO-MARIA,2
AINO-MARJA,2
AINOR,4
AINU,2
AINUR,5
AINURA,10
AINY,3
AIPERI,3
AIPING,6
AIQI,2
AIQIN,5
AIRA,204
AIRADA,3
AIRAH,5
AIRE,12
AIREEN,4
AIREN,5
AIRENE,5
AIRES,3
AIRI,245
AIRIDA,4
AIRIE,2
AIRIKA,2
AIRIN,24
AIRISH,2
AIRONG,5
AIRUI,2
AISA,112
AISAH,3
AISAN,11
AISATOU,4
AISCHA,9
AISE,5
AISEL,11
AISH,2
AISHA,2159
AÏSHA,4
AISHAA,2
AISHAH,39
AISHAN,7
AISHANI,10
AISHA-NOOR,2
AISHAT,16
AISHATH,2
AISHATOU,4
AISHE,20
AISHEH,13
AISHI,7
AISHIA,2
AISHO,30
AISHWARIYA,3
AISHWARYA,52
AISI,3
AISLING,14
AISLINN,7
AISLYNN,2
AISOSA,5
AISSA,7
AÏSSA,2
AISSATA,8
AÏSSATA,2
AISSATOU,30
AÏSSATOU,3
AISSATU,2
AISSE,2
AISSEL,2
AISTE,53
AISTÉ,8
AISULUU,3
AISWARYA,8
AISYAH,7
AITA,12
AITAN,2
AITANA,14
AITEN,3
AIVA,27
AIVE,10
AIVI,21
AIVIE,2
AIVILEE,2
AIVY,25
AIWA,3
AIWEI,2
AIXA,2
AIXIA,3
AIYA,19
AIYANA,20
AIYANAH,2
AIYING,5
AIYLA,9
AIYSHA,5
AIZA,84
AIZAH,11
AIZAT,2
AIZEL,3
AIZHAN,7
AIZHEN,6
AIZHI,2
AJA,82
AJAAN,2
AJABO,3
AJAH,2
AJALA,2
AJAN,13
AJANA,28
AJAR,2
AJARA,4
AJAT,19
AJDA,23
AJDINA,10
AJE,13
AJEEN,3
AJEH,2
AJETE,24
AJFER,4
AJFERE,2
AJGUL,3
AJGYL,2
AJI,49
AJI FATOU,5
AJIA,2
AJIDA,3
AJIE,6
AJIFATOU,3
AJIN,18
AJISA,27
AJIT,2
AJITHA,5
AJKA,29
AJKUNA,8
AJKUNE,3
AJLA,655
AJLANA,8
AJLI,2
AJLIE,2
AJLIN,62
AJLINA,17
AJLINDA,3
AJLIS,2
AJMA,2
AJMAL,2
AJMANE,9
AJMON,2
AJMONE,10
AJNA,142
AJNE,5
AJNET,3
AJNIJA,2
AJNISHA,3
AJNISHAH,3
AJNO,2
AJNUR,12
AJOLA,2
AJRA,3
AJRIJA,12
AJRIJE,5
AJSA,132
AJSAN,2
AJSE,16
AJSEL,9
AJSELA,30
AJSENA,2
AJSER,2
AJSHA,16
AJSHE,72
AJSI,4
AJTAN,2
AJTEN,22
AJTENE,8
AJVI,3
AJWA,14
AJWAN,3
AKADIA,3
AKAL,2
AKANE,8
AKANKSHA,26
AKANSHA,8
AKAR,4
AKARI,9
AKASHA,3
AKBAL,12
AKBARET,4
AKBERET,154
AKBERT,2
AKBOTA,2
AKBRET,3
AKEBRET,2
AKEELA,3
AKELA,6
AKEMI,4
AKEZA,5
AKHBERET,3
AKHEENK,2
AKHI,4
AKHILA,21
AKHINK,3
AKHIRA,3
AKHLAS,17
AKHLASS,4
AKHONA,3
AKHTAR,36
AKHTER,3
AKI,20
AKIDA,2
AKIE,2
AKIKA,2
AKIKO,38
AKILA,25
AKILAH,3
AKILANDESWARI,2
AKIMA,3
AKIMUN,2
AKINA,5
AKINYI,4
AKIRA,20
AKISSI,2
AKKI,5
AKKIZ,4
AKLAS,2
AKLEEMA,3
AKLEJA,9
AKLIL,4
AKLIMA,6
AKMARAL,2
AKON,2
AKOSSIWA,2
AKOSUA,8
AKOUA,3
AKRAM,137
AKRAMALSADAT,3
AKRAMOLSADAT,4
AKRAMOSSADAT,2
AKRIN,2
AKRITI,3
AKSA,12
AKSANA,25
AKSANNA,2
AKSARAPHAK,2
AKSEL,3
AKSHADHA,3
AKSHARA,16
AKSHATA,9
AKSHATHA,6
AKSHAYA,27
AKSHI,2
AKSHITA,14
AKSINIYA,2
AKSORN,3
AKTER,6
AKUA,11
AKUNNA,2
AKUOL,8
AKVELINA,6
AKVILE,23
AKVILÉ,9
AKVILIJA,2
AKWATHTHAGE,2
AKWINDER,2
AKYLAI,2
AL,17
AL ZAHRA,2
ALA,210
ALA´,3
ALA´A,15
ALAA,1171
ALABINA,3
ALAE,19
ALAF,2
ALAHA,2
ALAI,3
ALAIA,10
ALAÏA,4
ALAILA,2
ALAINA,6
ALAINE,4
ALAÏS,2
ALAITZ,2
ALAIYA,3
ALAIZA,3
ALAKA,2
ALALEH,9
ALAM,6
ALAMERA,2
ALAMIRA,5
ALAN,17
ALANA,75
ALANAH,3
ALAND,3
ALANDA,2
ALANI,5
ALANIS,4
ALANKA,2
ALANNA,12
ALANNAH,9
ALANOOD,2
AL-ANOOD,4
ALANOUD,6
ALANTA,2
ALANUR,2
ALANYA,4
ALAQ,2
ALARA,46
ALARIA,2
ALASAN,3
ALASKA,15
ALATHEA,2
ALAV,3
ALAVI,2
ALAVIYEH,2
ALAWIA,7
ALAWIYA,2
ALAYA,25
ALAYAH,2
ALAYNA,15
ALAYT,3
ALAZ,2
ALBA,1582
ALBANA,152
ALBANE,13
ALBANË,4
ALBANIA,2
ALBATOL,7
ALBATOOL,3
ALBATOUL,15
ALBENA,28
ALBENITA,10
ALBERA,19
ALBERIJE,4
ALBERINA,28
ALBERITA,2
ALBERTA,36
ALBERTE,12
ALBERTHA,2
ALBERTHINA,2
ALBERTIN,2
ALBERTINA,104
ALBERTINE,9
ALBERTYNA,2
ALBESA,9
ALBESIANA,2
ALBIANA,4
ALBIJANA,3
ALBIJONA,9
ALBIKA,3
ALBIN,7
ALBINA,335
ALBINE,2
ALBINË,2
ALBINOTA,2
ALBIONA,41
ALBIONË,2
ALBIRA,2
ALBNORA,2
ALBOLENA,3
ALBULENA,138
ALBULENE,5
ALBULENË,4
ALCINA,2
ALCINDA,5
ALCIONE,4
ALCIRA,5
ALCY,6
ALDA,102
ALDANA,10
ALDE,119
ALDEA,2
ALDIANA,10
ALDIJANA,99
ALDINA,116
ALDINE,2
ALDIONA,2
ALDIS,12
ALDÍS,4
ALDIZA,2
ALDJIA,2
ALDONA,105
ALDORA,2
ALDRINA,3
ALE,6
ALEA,357
ALÉA,25
ALÈA,2
ALEAA,4
ALEAH,91
ALÉAH,6
ALEANDRA,3
ALEC,7
ALECIA,20
ALECSANDRA,7
ALECZANDRA,3
ALEE,2
ALEEA,2
ALEEAH,4
ALEEHA,2
ALEEK,2
ALEEMA,2
ALEEN,70
ALEENA,83
ALEES,2
ALEESA,2
ALEESHA,9
ALEEYA,6
ALEEYAH,4
